,uuid,substance,number,INCI
69,461f7c0b-38ff-40ae-9694-5424497fd86b,Glycine,200-272-2,Glycine
70,6bde05b9-c87d-404e-a4b6-4fb5989f422a,L-alanine,200-273-8,Alanine
71,b8f95adc-97a2-464e-84cc-711ec8a5b0f9,L-serine,200-274-3,Serine
72,c0c3abf1-fa96-447c-a895-73e731ba69b7,Quinidine,200-279-0,
73,46995f47-108d-4d48-b55c-5f23400ac714,Chloramphenicol,200-287-4,
74,af895ec9-c9c2-4fe8-a224-47c0a853ce91,Glycerol,200-289-5,
75,946d0379-7897-44ac-ab12-552db4343448,Aspartic acid,200-291-6,Aspartic Acid
77,0094f36b-8224-4097-9aee-628350e515a0,Levoglutamide,200-292-1,
78,27d044e2-6e65-4c04-8b45-368e1f1ab375,Glutamic acid,200-293-7,Glutamic Acid
81,6aed5137-430d-4a45-985f-7e7adf2c5824,Cystine,200-296-3,Cystine
83,6d2e3705-30cd-4616-862a-a919d8a85eee,2-imidazol-4-ylethylamine dihydrochloride,200-298-4,
84,aead4984-0f5b-4495-913b-74c93e4c8e4d,Benzyltrimethylammonium chloride,200-300-3,
85,5f528488-aa3b-4bc6-974f-ac330372983d,N-amidinosarcosine,200-306-6,
86,7d04db1e-225d-49ab-95ea-6f5d842efcfe,Allyl isothiocyanate,200-309-2,
87,37663c73-a897-4f74-82ff-76fc8e17bf4e,Acexamic acid,200-310-8,
88,6ca40eb1-fc8f-4d78-a3a3-26e96e11d75e,Cetrimonium bromide,200-311-3,Cetrimonium Bromide
89,54c6933d-32b1-4497-b991-580c022ccf7d,Palmitic acid,200-312-9,Palmitic Acid
90,230e950a-026b-4ea0-a36f-2ca3eaa6f55c,Stearic acid,200-313-4,Stearic Acid
92,c30fd74b-f53b-4aa4-8d93-ffae6cf4b0a9,Urea,200-315-5,Urea
93,71499f81-8086-4571-943d-46b5d90a142f,"N,N-dimethylhydrazine",200-316-0,
94,c7cc4d8b-5d48-451c-a8e1-a225a3afffb2,Chlorbutanol,200-317-6,
95,1f7e77f3-4648-4d35-b168-4952c9de7602,Morphine,200-320-2,
96,5bcb5691-e8d0-4b89-8763-7e0db28b382f,Phenytoin,200-328-6,
97,1a7591ad-1b8b-4fbf-9b50-34c49d3f8ebd,Pethidine,200-329-1,
98,766c9589-a6d5-4a1c-82c9-283854bdcb96,Barbital,200-331-2,
99,ac373698-264b-4461-8541-9710a44a0fc6,"Propane-1,2-diol",200-338-0,Propane
100,382b22f4-b652-45c0-bbab-bb0759bc0532,Propiolactone,200-340-1,
101,a0786734-0216-474c-b836-6c3c3d2880cb,Sulfaguanidine,200-345-9,
102,9baa5277-ea35-430d-9afd-7b1944510647,Sulfadimidine,200-346-4,
103,d5742ed1-9876-42db-a354-c21109ecea68,Progesterone,200-350-6,
104,b1c35d55-d210-47d1-82b5-5816d949d0fc,Ergosterol,200-352-7,
105,e0f47c39-0a14-4177-8295-b54978b3907f,Cholesterol,200-353-2,Cholesterol
106,02f8585c-1e28-4a05-9f39-63528aabc93f,Caffeine,200-362-1,Caffeine
107,2420928f-a98d-48fa-aba7-56039b7fad71,Testosterone,200-370-5,
109,03742a29-46c3-4da2-9359-33b09a92dd3b,Chlordiazepoxide,200-371-0,
110,501ce001-3a30-4ec9-b5a9-67638e6a2bf0,Menadione,200-372-6,
111,1ad6509f-684c-4171-9921-4ddb0be8f15f,Desipramine hydrochloride,200-373-1,
112,3d62f8cf-e57c-4de6-8516-a46b87b9e598,Theophylline,200-385-7,Theophylline
114,340295fb-4940-4260-bdaa-5d5ff8f5e0da,Pyridoxine hydrochloride,200-386-2,
115,9611a28e-b69e-452c-b381-72e8633ac54c,Adenosine,200-389-9,Adenosine
116,eecd8ac6-3db7-4439-a314-f95868b857e1,Inosine,200-390-4,
117,90222ea9-7239-4788-b8c8-52c295c1d58a,Cefalotin sodium,200-394-6,
118,f11230fb-878c-47e5-965c-a3d02a292625,Diphenhydramine,200-396-7,
119,3c35210d-964d-48e0-b58d-a16061f4da69,Papaverine,200-397-2,
120,3b391326-a155-4bf2-9633-8cd6fdc42d20,Xylose,200-400-7,Xylose
122,aed01ebf-5c01-44b9-aa56-e132d3b14a4c,Uridine,200-407-5,
123,aa62e57d-48d1-410b-bc56-a654fc9af50b,α-tocopherol,200-412-2,Tocopherol
124,47963b8e-f89f-4468-aabf-5c5a3245d53c,Nikethamide,200-418-5,
125,2275d3c7-b235-46e5-9fbc-04b0279e436a,Folic acid,200-419-0,
127,b3d6c9be-a796-4fa5-a8dd-d12e18b669db,Chloropyramine,200-421-1,
128,89dddacd-a11e-4941-a11e-3d8a5cc7e69b,Mepyramine maleate,200-422-7,
129,f178adfb-1129-497a-b91e-0cde1a741d24,Phenylephrine,200-424-8,
130,ef230db9-855e-4b47-a9cb-cc596fdc1ffa,Chlorocresol,200-431-6,
131,22d0136b-2e74-4db4-b277-345f99beaad9,Nicotinic acid,200-441-0,
133,e5ccbe5e-c5d5-42b8-bbff-4e9cde4287c2,Levodopa,200-445-2,
134,623d9941-b65a-48fd-9066-257b0bf9f07e,Edetic acid,200-449-4,
136,aaff4b77-6de6-4012-b770-ab70b94509a4,4-aminoazobenzene,200-453-6,
137,2335c710-fe29-42a6-9428-f81600f92796,2-phenylethanol,200-456-2,
140,3f989a82-cc2f-4cf4-ab4c-2a935c2ec3fb,Tyrosine,200-460-4,Tyrosine
141,c46135b6-3b8a-45e4-8c15-e987f841b894,4-hydroxyphenethylammonium chloride,200-462-5,
142,9c3bef71-999a-4cdb-a208-cf0acc821312,Mercaptamine,200-463-0,
143,2e6d1ebe-f3cb-4fa8-86e3-100a44f44b0f,2-mercaptoethanol,200-464-6,
144,97ae9738-ebee-47c8-95ae-b08075267e49,2-imino-1-methylimidazolidin-4-one,200-466-7,
145,9eb00413-1ac1-428c-b81a-daed1689b23f,Diethyl ether,200-467-2,
146,5128ddd0-eace-4556-96ba-c46368c88ea9,Aminocaproic acid,200-469-3,Caproic Acid
147,645a60f5-79f9-4b8c-be89-48deae40ff39,Methylhydrazine,200-471-4,
151,f89d1317-4f68-49ad-9b7a-9db26099d22e,Acetamide,200-473-5,
152,8d96af44-af88-4ce9-86b7-2c8e704eaeb9,Tetracycline,200-481-9,
153,207d2590-3a1e-4c1d-b884-3d706e791aa7,Thiamazole,200-482-4,
154,0cb9798c-af83-4973-9cb6-c8345565557b,Phenazone,200-486-6,
155,c75fe696-e7a9-44bd-92b3-61e21e7545cd,"2'-(β-D-glucopyranosyloxy)-4',6'-dihydroxy-3-(4-hydroxyphenyl)propiophenone",200-487-1,
156,1333214a-4f05-47ea-b046-b8fd2f72ec92,Promethazine,200-489-2,
157,8a6e87fa-bba9-4bf3-ad70-d3b8f5c209b7,Quinine dihydrochloride,200-493-4,
158,305b4329-f1c9-4db6-b313-8e3a5163688f,Acepromazine,200-496-0,
159,8d6dc921-b294-4910-a86e-1432ea0457b3,Adenosine phosphate,200-500-0,Adenosine Phosphate
160,41afd211-6d86-48f8-82ff-3a9e58bf081c,2-(indol-3-yl)ethylamine,200-510-5,
161,0f48d0ac-f138-47ce-8be6-132a379bcaa6,Phenylephrine hydrochloride,200-517-3,
162,68fa3eff-4fc8-4fad-b74c-3e25aca0fbe5,Amitrole,200-521-5,
163,db7bd02c-f140-420e-974e-1673de1874e7,L-leucine,200-522-0,Leucine
164,74cf578f-39a8-4af3-90be-bf53dcf86069,4-nitrobenzoic acid,200-526-2,Benzoic Acid
167,99b0226e-6d09-4673-9ef4-dba6f574876c,Sodium calcium edetate,200-529-9,
168,17337e83-a675-4038-80da-9884c82a1b8a,Phenacetin,200-533-0,
169,85c54b43-3f4e-4cd2-a901-b2a7ddbc4867,Choline,200-535-1,
170,0e3361ca-fad1-4d37-8b9f-d4950a18c6f4,Aniline,200-539-3,
172,defdde28-2cdf-46e3-8de4-f2fd286dae21,Calcium di(acetate),200-540-9,
173,8b45eae0-5a96-4f37-b2dd-7f39f3ef8fc3,Thioacetamide,200-541-4,
174,f3b36df7-fd40-469e-9aa4-485816fd292d,thiourea; thiocarbamide,200-543-5,Urea
175,08287877-a446-4fcd-8562-fd9849c87807,2-amino-2-methylpropionic acid,200-544-0,
176,991f17db-f903-4aa0-91ea-885cfde42ce1,Disodium oxalate,200-550-3,
177,0acee5eb-4396-4858-8c3f-de462eea5e2c,"Androst-4-ene-3,17-dione",200-554-5,
178,61649230-48e1-4132-9f25-74e8a01c8b6f,Cytidine 3'-(dihydrogen phosphate),200-556-6,
179,097decb6-7033-499b-b08f-d6e9f23a7eee,L-methionine,200-562-9,Methionine
180,6adcd8ea-2f86-434c-a083-bb8859ddd8f4,Sulphanilamide,200-563-4,
181,d83a451d-6933-4bdd-af41-5450ff395733,3-phenyl-L-alanine,200-568-1,Alanine
183,07ca2e9f-ac4d-4001-a943-daba83db5415,Tetrasodium ethylenediaminetetraacetate,200-573-9,
185,1af9ace7-9bf6-4c74-9723-5142b7709e78,Phenethylamine,200-574-4,
186,2c7a6ea4-0620-46f9-9e65-291029132684,Ethanol,200-578-6,
188,13b0520c-62ee-4dda-89fa-7dc0bf92392e,Formic acid,200-579-1,Formic Acid
190,91f3690a-5368-49ca-a77c-b6385597ead6,Acetic acid,200-580-7,Acetic Acid
191,13760dae-9629-4cac-aa5f-162ccd03db3c,Diethyl sulphate,200-589-6,
194,e0f804ae-a65a-482e-9c38-3b342be689b4,Demeclocycline hydrochloride,200-592-2,
195,57915f0e-bbc5-4f81-83b7-d9360895f6e8,Tetracycline hydrochloride,200-593-8,
196,e4d50c6c-8986-43df-9eba-462187845f8d,Colchicine,200-598-5,
197,179c5f36-607a-4312-b6ee-ad9b72844279,Pyridoxine,200-603-0,
198,d4b8d1c8-3f7b-4876-a05e-3840b5e4dbc5,Nicotine sulphate,200-606-7,
199,bf0ed9a8-3312-44b2-a37c-69a2b4fdee91,Nicotine dihydrogen ditartrate,200-607-2,
200,e6981558-5581-4535-9992-85453ce03e11,Salicylamide,200-609-3,
201,c15bcca7-e607-4193-b89e-4070978c2964,4-aminosalicylic acid,200-613-5,Salicylic Acid
202,dedac439-ffa4-4d7d-8ccf-ab20f2c3c9df,Benzoic acid,200-618-2,Benzoic Acid
203,babfd9ac-0c00-4e10-a3e1-cf666eea9844,Orotic acid,200-619-8,
204,1041c3f7-4d74-4fe7-bd11-2e9f6876d763,Uracil,200-621-9,
205,1e6aa5d2-2066-4d86-8733-e078d9418d4f,Hexanal,200-624-5,
206,4da89c43-4850-47d3-9709-11101c8708c3,Methyl methanesulphonate,200-625-0,
207,248e9f54-48da-4394-be27-617ad1aca8b4,Glucosamine hydrochloride,200-638-1,Glucosamine
208,75987c2e-d2af-4ce5-b537-f7b6b2bb8190,Thiamine hydrochloride,200-641-8,
209,36067e7a-9a00-45d8-9129-7dc2238b00c9,"N,N'-[dithiobis[2-(2-hydroxyethyl)-1-methylvinylene]]bis[N-[(4-amino-2-methyl-5-pyrimidinyl)methyl]formamide",200-644-4,
210,32b7bc2b-035a-4420-a585-a276837d0f6a,N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid),200-652-8,Acetic Acid
212,32b7e6a3-8518-472f-9b2c-d3a6c955f61d,5-(hydroxymethyl)-2-furaldehyde,200-654-9,
214,a3b28d81-7c3e-4fad-9ec5-6e8c14e0199c,Choline chloride,200-655-4,Choline Chloride
215,ce6ab133-c344-4624-b2b0-bbd7590c69ff,"3,5-dimethylpyrazole",200-657-5,
217,45f84c03-1c51-45b7-a436-d0459813323f,Barbituric acid,200-658-0,
219,09f8c767-b084-4739-b51a-87673a3f0e2b,Methanol,200-659-6,
221,22ef2093-bd89-4d2c-90e6-b4b09991dc9c,Propan-2-ol,200-661-7,
223,e2c59a20-8996-4eda-be81-9ff4ae2e0e1e,Acetone,200-662-2,
224,55c87126-1521-4fc1-b682-7a38df456273,Chloroform,200-663-8,
225,bc6f2c12-4157-4caf-bd64-09bb9564b95c,Dimethyl sulfoxide,200-664-3,
226,b41ea775-03a1-48b3-97d5-9089a24f86cc,Dimethyl sulphone,200-665-9,
227,a66ec1ca-56e4-46bb-a4f2-6a28a3ff3d6b,Hexachloroethane,200-666-4,
228,c0f0be0b-54b5-40a7-9d7b-b986d4cdc02c,Trisodium citrate,200-675-3,Sodium Citrate
229,54727ed6-e4a5-418c-aeef-49cb5ae69bfe,Tetraethylammonium iodide,200-676-9,
230,3e0a025b-5007-4025-9e54-9aff9e34353b,Mercaptoacetic acid,200-677-4,Acetic Acid
232,674b6f42-e342-4839-ad92-5892e6afa02d,"N,N-dimethylformamide",200-679-5,
234,75343bd3-a6b2-45f8-86b5-f023a3654490,Cyanocobalamin,200-680-0,
235,00f01cd5-4e87-4ab3-ba0b-e38ae9e2c65b,Norethisterone,200-681-6,
236,173198a1-bd6e-45cb-84d9-d68a694869ba,Retinol,200-683-7,Retinol
237,c5574fa1-338e-4229-8f15-9ab9df54c033,Sulfadiazine,200-685-8,
238,089defe3-6185-4600-9726-ab0461fedb80,Purin-6(1H)-one,200-697-3,
239,d8bf0e62-5b1f-4c6b-89d6-24bdd0b6876b,Hydroxyprogesterone,200-699-4,
240,193c6b69-aff9-4127-90d4-026bc5fa7a13,Ampicillin,200-709-7,
241,d9919c4f-32a8-4171-9290-d82aa4064327,Salicylic acid,200-712-3,Salicylic Acid
243,3f121f3e-dded-41b7-9d79-a511d7ca76a3,1-β-D-arabinofuranosylcytosine hydrochloride,200-713-9,
244,f139ca6d-9486-495e-b9d2-0640f2d9ac2b,Maltose,200-716-5,Maltose
245,439499d0-ecab-4162-80eb-7970d554a929,"Purine-2(3H),6(1H)-dione",200-718-6,
246,6af61304-a3c4-42f8-b275-580204113baf,Uric acid,200-720-7,
247,8f50ae25-a15f-459b-85e4-fbc63277b303,L-ornithine,200-731-7,
248,9f60ae75-2d9d-4fc9-b6f0-21229e86195d,Asparagine,200-735-9,Asparagine
249,79679fd3-cff3-41a6-9f2b-058c0f818d55,Deferoxamine,200-738-5,
250,e9e017db-8561-45ef-af18-ac9446b13480,DL-lysine monohydrochloride,200-739-0,Lysine
251,66273295-4775-4f59-b615-72469a57aa24,DL-lysine,200-740-6,Lysine
253,32ba7c02-28c6-44a7-b3b0-fe6631c4836a,Toluene-4-sulphonamide,200-741-1,Toluene
255,f4f7b546-54cf-4d28-bf1b-bd246cf6bb17,Histidine,200-745-3,Histidine
256,b2f938e8-9f7a-401f-b7a8-345f4fdba7bc,Propan-1-ol,200-746-9,
257,35e0540e-b3a5-413c-8272-f9390ea3bb98,Cytosine,200-749-5,
258,168b8299-7f97-4a03-a4e3-0c374f536bd0,Butan-1-ol,200-751-6,
260,a5728cf0-8c10-41d4-a8d8-4d35f416b2b2,Pentan-1-ol,200-752-1,
261,e205e5a9-01c8-429f-a4bb-785149f0ffe1,Benzene,200-753-7,
263,d6b1933d-e706-4bbb-b892-08cef6302ae0,Cobalt di(acetate),200-755-8,
266,8a114aa7-3ab1-4525-8f62-60f27d42f531,"1,1,1-trichloroethane",200-756-3,Trichloroethane
267,a7971e15-559a-41f5-9f3f-1913c01189f3,Tetrylammonium bromide,200-769-4,
268,7b1b2da6-cd6d-4413-8223-8a33d8d04495,Sodium lactate,200-772-0,Sodium Lactate
269,56220bbc-0638-4ce1-9348-c004afac390f,L-valine,200-773-6,Valine
271,b63c2723-6aeb-4ca6-8994-906e863379a9,L-threonine,200-774-1,Threonine
273,38e61d78-2772-40f5-a667-a6b21482f605,"1,2-dihydroxyanthraquinone",200-782-5,
274,81651ba4-c82d-4950-a4ab-c28f146e7468,Nortriptyline,200-788-8,
275,be2a6b87-94c1-408b-b2e3-991087f50dac,L-tryptophan,200-795-6,Tryptophan
277,0cd48171-2de4-4afb-9e29-a5d9b2c27d69,Adenine,200-796-1,
278,3753af4d-55dc-469a-98de-e5bc8acd099c,L-isoleucine,200-798-2,Leucine
279,d2f41f48-be31-4d98-8ce1-f2669cfbb908,Guanine,200-799-8,
280,9ce9184d-0466-4077-bf63-8fbe5688b70f,4-chlorobenzoic acid,200-805-9,Benzoic Acid
281,26a5206a-40d3-48a6-864a-008840caeab2,"N,N'-diphenyl-p-phenylenediamine",200-806-4,p-Phenylenediamine
283,222aa251-f132-4776-ad14-8aad0d599d12,Arginine,200-811-1,Arginine
284,35f6bfd2-3967-4e47-ade0-ce5afeec5c93,Methane,200-812-7,
285,1970ed96-1727-4ff6-ad0e-95ca820ae661,Bromomethane,200-813-2,
286,58e1cb91-099b-4e72-ac70-357519d88943,Ethane,200-814-8,
287,555f796a-6730-4bfd-af4f-001af5cd4ad5,Ethylene,200-815-3,
288,c2ae1101-fb86-45f5-89de-ebd319b5c7c0,Acetylene,200-816-9,
289,1146ac8f-0a76-4f4d-b04a-d05f262a257e,chloromethane; methyl chloride,200-817-4,
295,4bcf750b-6243-48e7-bb41-b036becd40d0,Iodomethane,200-819-5,
297,5969e3d2-00c6-4c40-a84f-602a586b67fa,Methylamine,200-820-0,
299,322e9f65-ab2e-47ba-9e2d-4cf65f05d02d,Hydrogen cyanide,200-821-6,
300,b38f953c-98df-4a3f-9826-a5478ce06408,Methanethiol,200-822-1,
301,496ad266-ccd4-4a3d-9e8a-a9ce5d0cdea3,Dimethylamine-borane (1:1),200-823-7,
303,66ad8f10-f0e7-4a65-93f0-0b76890ad7e0,Dibromomethane,200-824-2,
305,4bed0772-b259-4869-9875-e210ac924bf3,Bromoethane,200-825-8,
306,0ac4a69d-2463-44f6-ae05-e90210a4fe78,Bromochloromethane,200-826-3,
308,ed950161-91a1-43ae-b475-0a56bb7996d0,Propane,200-827-9,Propane
309,f70d8812-111a-4022-8665-2ba94f4fc493,Propyne,200-828-4,
310,337fe086-f4b7-4cf4-81a6-a7c75b474c49,Chloroethane,200-830-5,
312,060a18bb-004a-410c-a10f-7098751b1974,Chloroethylene,200-831-0,
315,27cb1f85-5d3f-4203-93bf-d2cdddab9d0b,Fluoroethylene,200-832-6,
316,dbad00f8-1ce3-4a88-bc17-5a9ad5a08bca,Iodoethane,200-833-1,
317,c48677fd-e39a-483c-9101-1bbd450caf33,Ethylamine,200-834-7,
318,0b3c1f66-8c45-4ff6-a12a-2b99b31bf2db,Acetonitrile,200-835-2,
320,3d43155c-9c07-4766-a20d-175cc99cccdd,Acetaldehyde,200-836-8,
322,63fa4e05-110d-4761-bc48-afafbc9178a9,Ethanethiol,200-837-3,
323,46ed11aa-054c-4700-8065-95daca17dd99,dichloromethane; methylene chloride,200-838-9,Methylene Chloride
326,33d17548-d28b-43bf-afa8-b02e53628c8b,Difluoromethane,200-839-4,
327,68680244-a0b4-4996-9c46-99ac3b93dfa8,Diiodomethane,200-841-5,
328,14a4d150-c629-4c63-818b-f680c2009400,Formamide,200-842-0,
332,01c6f2bb-c391-49b0-8fd0-7faa073aaaee,Carbon disulphide,200-843-6,
334,c9b9dd43-7406-414d-8995-e5960bfb4cd6,Methylmagnesium bromide,200-844-1,
335,16933728-e01b-487d-a4aa-9f75bb6957c1,Dimethyl sulphide,200-846-2,
336,9b50b117-8280-4087-8e11-c0bd60130e90,Calcium acetylide,200-848-3,
338,02c98576-b961-4188-8489-d9f3cacdf8cd,Ethylene oxide,200-849-9,
344,e986e5f0-ed4b-480b-a362-fe19d7778872,Ethylamine-boron trifluoride,200-852-5,
345,9cae7842-6c10-45d0-a943-74270f09d5aa,Trimethylaluminium,200-853-0,
346,c223dcba-8e1a-4f1f-8a98-221a2529a666,Bromoform,200-854-6,
347,3225bbaa-8392-40c0-8dc7-d61b96b5881c,2-bromopropane,200-855-1,Propane
350,1eb61ae2-8afb-4497-89f0-47759c086d70,Isobutane,200-857-2,Isobutane
351,46c49b93-b926-47ee-b53e-3207ca4877b9,2-chloropropane,200-858-8,Propane
353,051f7d92-b17f-4df8-a816-7be53977572d,Isopropylamine,200-860-9,
355,26d6fb25-47e6-4687-902d-4ed4e128f54f,Propane-2-thiol,200-861-4,Propane
356,44785fb4-6fa6-4cd7-81cc-55eeec5eb065,"1,1-dichloroethylene",200-864-0,
357,a99622a5-842a-407a-91d7-85fcafe6458c,Acetyl chloride,200-865-6,
358,00493759-9b78-4e6e-ae79-c2c2ad058314,"1,1-difluoroethane",200-866-1,
359,ee5d3f29-0482-46c3-afc0-f52fff20d89d,"1,1-difluoroethylene",200-867-7,
360,30e55b4e-91ae-4e3e-9ddd-7a3373a42e96,Phosgene,200-870-3,
362,5b0d382e-ba44-4311-9c1e-542969ee5943,Chlorodifluoromethane,200-871-9,
363,6f63870b-1d6b-4805-98a6-09e7f04c20b5,Trifluoromethane,200-872-4,
364,6d6d8633-50af-4b10-8953-f3ce9f6a0535,Trimethylamine,200-875-0,
366,a0102986-f8ef-467e-9a8e-5fb6bb7abf51,Nitromethane,200-876-6,
367,a4816ae3-4d9f-4bbd-8514-05abdc541b30,Dichloro(methyl)silane,200-877-1,
368,14795001-297e-48f3-9b3d-ba012817cdf4,2-methylaziridine,200-878-7,
369,087d8f6c-5dab-441a-8556-24c6092d20c9,Methyloxirane,200-879-2,
379,138d9ade-879d-4def-8331-d99aafef0382,Tetramethylammonium chloride,200-880-8,
381,8ad38531-0bd3-4260-9b0e-670d192e1bff,Tetramethylammonium hydroxide,200-882-9,Ammonium Hydroxide
382,3ed38b85-2802-4aa6-8841-a37c9e2bb801,Bromotrichloromethane,200-886-0,
383,abee4d67-6c44-47a1-aa79-a6ab5ee530b6,Bromotrifluoromethane,200-887-6,
384,ebaf1d49-97c0-40e5-8a1a-267f1158d640,tert-butylamine,200-888-1,
385,e4536597-1341-4fa2-a813-fe0970344614,2-methylpropan-2-ol,200-889-7,
386,04e2b73b-710f-4d37-b8c0-a2e1a1fe3657,2-methylpropane-2-thiol,200-890-2,Propane
387,21767ac0-a070-4e18-8df0-039039d16b61,"1-chloro-1,1-difluoroethane",200-891-8,
388,ce2c5694-f001-482e-85cf-d892c4eb9785,Dichlorodifluoromethane,200-893-9,
389,5f1b3cd7-cae0-4c33-914e-307c5fce9029,Carbon tetrafluoride,200-896-5,
390,78ed5414-94e5-4e16-9e03-c17b511df10f,Methanesulphonic acid,200-898-6,
391,ac3eaf3d-214d-4177-a274-5b14c41b5ecf,Tetramethylsilane,200-899-1,
